time,psi
24.22,0.787
24.26,0.787
24.29,0.787
24.32,0.787
24.35,0.787
24.38,0.787
24.42,0.787
24.45,0.787
24.48,0.787
24.51,0.787
24.54,0.787
24.58,0.787
24.61,0.787
24.64,0.787
24.67,0.787
24.7,0.787
24.74,0.787
24.77,0.787
24.8,0.787
24.83,0.787
24.86,0.787
24.9,0.787
24.93,0.787
24.96,0.787
24.99,0.787
25.02,0.787
25.06,0.787
25.09,0.787
25.12,0.787
25.15,0.787
25.18,0.787
25.22,0.787
25.25,0.787
25.28,0.787
25.31,0.787
25.34,0.787
25.38,0.787
25.41,0.787
25.44,0.787
25.47,0.787
25.5,0.787
25.54,0.787
25.57,0.787
25.6,0.787
25.63,0.787
25.66,0.787
25.7,0.787
25.73,0.787
25.76,0.787
25.79,0.787
25.82,0.787
25.86,0.787
25.89,0.787
25.92,0.787
25.95,0.787
25.98,0.787
26.02,0.787
26.05,0.787
26.08,0.787
26.11,0.787
26.14,0.787
26.18,0.787
26.21,0.787
26.24,0.787
26.27,0.787
26.3,0.787
26.34,0.787
26.37,0.787
26.4,0.787
26.43,0.787
26.46,0.787
26.5,0.787
26.53,0.787
26.56,0.787
26.59,0.787
26.62,0.787
26.66,0.787
26.69,0.787
26.72,0.787
26.75,0.787
26.78,0.787
26.82,0.787
26.85,0.787
26.88,0.787
26.91,0.787
26.94,0.787
26.98,0.787
27.01,0.787
27.04,0.787
27.07,0.787
27.1,0.787
27.14,0.787
27.17,0.787
27.2,0.787
27.23,0.787
27.26,0.787
27.3,0.787
27.33,0.787
27.36,0.787
27.39,0.787
27.42,0.787
27.46,0.787
27.49,0.787
27.52,0.787
27.55,0.787
27.58,0.787
27.62,0.787
27.65,0.787
27.68,0.787
27.71,0.787
27.74,0.787
27.78,0.787
27.81,0.787
27.84,0.787
27.87,0.787
27.9,0.787
27.94,0.787
27.97,0.787
28.0,0.787
28.03,0.787
28.06,0.787
28.1,0.787
28.13,0.787
28.16,0.787
28.19,0.787
28.22,0.787
28.26,0.787
28.29,0.787
28.32,0.787
28.35,0.787
28.38,0.787
28.42,0.787
28.45,0.787
28.48,0.787
28.51,0.787
28.54,0.787
28.58,0.787
28.61,0.787
28.64,0.787
28.67,0.787
28.7,0.787
28.74,0.787
28.77,0.787
28.8,0.787
28.83,0.787
28.86,0.787
28.9,0.726
28.93,0.726
28.96,0.726
28.99,0.726
29.02,0.726
29.06,0.726
29.09,0.726
29.12,0.726
29.15,0.726
29.18,0.726
29.22,0.726
29.25,0.726
29.28,0.726
29.31,0.726
29.34,0.726
29.38,0.726
29.41,0.726
29.44,0.726
29.47,0.726
29.5,0.726
29.54,0.726
29.57,0.726
29.6,0.726
29.63,0.726
29.66,0.726
29.7,0.726
29.73,0.726
29.76,0.726
29.79,0.726
29.82,0.726
29.86,0.726
29.89,0.726
29.92,0.726
29.95,0.726
29.98,0.726
30.02,0.726
30.05,0.726
30.08,0.726
30.11,0.726
30.14,0.726
30.18,0.726
30.21,0.726
30.24,0.726
30.27,0.726
30.3,0.726
30.34,0.726
30.37,0.726
30.4,0.726
30.43,0.726
30.46,0.726
30.5,0.726
30.53,0.726
30.56,0.726
30.59,0.726
30.62,0.726
30.66,0.726
30.69,0.726
30.72,0.726
30.75,0.726
30.78,0.726
30.82,0.726
30.85,0.726
30.88,0.726
30.91,0.726
30.94,0.726
30.98,0.726
31.01,0.726
31.04,0.726
31.07,0.726
31.1,0.726
31.14,0.726
31.17,0.726
31.2,0.726
31.23,0.726
31.26,0.726
31.3,0.726
31.33,0.726
31.36,0.726
31.39,0.726
31.42,0.726
31.46,0.726
31.49,0.726
31.52,0.726
31.55,0.726
31.58,0.726
31.62,0.726
31.65,0.726
31.68,0.726
31.71,0.726
31.74,0.726
31.78,0.726
31.81,0.726
31.84,0.726
31.87,0.726
31.9,0.726
31.94,0.726
31.97,0.726
32.0,0.726
32.03,0.726
32.06,0.726
32.1,0.726
32.13,0.726
32.16,0.726
32.19,0.726
32.22,0.726
32.26,0.726
32.29,0.726
32.32,0.726
32.35,0.726
32.38,0.726
32.42,0.726
32.45,0.726
32.48,0.726
32.51,0.726
32.54,0.726
32.58,0.726
32.61,0.726
32.64,0.726
32.67,0.726
32.7,0.726
32.74,0.726
32.77,0.726
32.8,0.726
32.83,0.726
32.86,0.726
32.9,0.726
32.93,0.726
32.96,0.726
32.99,0.726
33.02,0.726
33.06,0.726
33.09,0.726
33.12,0.726
33.15,0.726
33.18,0.726
33.22,0.726
33.25,0.726
33.28,0.726
33.31,0.726
33.34,0.726
33.38,0.726
33.41,0.726
33.44,0.726
33.47,0.726
33.5,0.726
33.54,0.726
33.57,0.726
33.6,0.726
33.63,0.726
33.66,0.726
33.7,0.726
33.73,0.726
33.76,0.726
33.79,0.726
33.82,0.726
33.86,0.726
33.89,0.726
33.92,0.726
